Timestamp,X,Y,Z
15-Dec-2024 07:14:21.487,-0.744766,2.882155,9.31466
15-Dec-2024 07:14:21.495,-0.931406,3.049653,9.147162
15-Dec-2024 07:14:21.504,-0.859622,3.226721,9.142377
15-Dec-2024 07:14:21.512,-0.706481,3.399004,9.367303
15-Dec-2024 07:14:21.520,-0.519841,3.51386,9.711869
15-Dec-2024 07:14:21.529,-0.275773,3.499503,9.812367
15-Dec-2024 07:14:21.537,-0.132203,3.470789,9.635299
15-Dec-2024 07:14:21.545,-0.127418,3.432504,9.333803
15-Dec-2024 07:14:21.553,-0.141775,3.336791,8.998808
15-Dec-2024 07:14:21.562,-0.108275,3.303292,8.845667
15-Dec-2024 07:14:21.570,0.054437,3.355934,8.788239
15-Dec-2024 07:14:21.578,0.174078,3.422933,8.778668
15-Dec-2024 07:14:21.587,0.140578,3.456432,8.845667
15-Dec-2024 07:14:21.595,0.073579,3.432504,8.955737
15-Dec-2024 07:14:21.603,-0.031705,3.346362,9.075378
15-Dec-2024 07:14:21.611,-0.136989,3.269792,9.123235
15-Dec-2024 07:14:21.620,-0.213559,3.269792,9.094521
15-Dec-2024 07:14:21.628,-0.156132,3.322434,9.037093
15-Dec-2024 07:14:21.636,-0.007777,3.389433,8.998808
15-Dec-2024 07:14:21.645,0.135793,3.523431,9.003593
15-Dec-2024 07:14:21.653,0.30329,3.671786,9.080164
15-Dec-2024 07:14:21.661,0.408574,3.7005,9.16152
15-Dec-2024 07:14:21.670,0.288933,3.633501,9.209376
15-Dec-2024 07:14:21.678,0.087936,3.561717,9.16152
15-Dec-2024 07:14:21.686,-0.122632,3.489932,9.003593
15-Dec-2024 07:14:21.694,-0.309272,3.422933,8.883952
15-Dec-2024 07:14:21.703,-0.371486,3.351148,8.730812
15-Dec-2024 07:14:21.711,-0.280558,3.399004,8.529815
15-Dec-2024 07:14:21.719,-0.127418,3.475575,8.266604
15-Dec-2024 07:14:21.728,-0.065204,3.475575,8.151749
15-Dec-2024 07:14:21.736,-0.007777,3.451647,8.156534
15-Dec-2024 07:14:21.743,0.126221,3.494717,8.352746
15-Dec-2024 07:14:21.752,0.288933,3.494717,8.788239
15-Dec-2024 07:14:21.761,0.341575,3.360719,9.056235
15-Dec-2024 07:14:21.769,0.279362,3.221936,8.912666
15-Dec-2024 07:14:21.777,0.135793,3.241078,8.826525
15-Dec-2024 07:14:21.786,0.097508,3.241078,8.5346
15-Dec-2024 07:14:21.794,-0.084347,3.269792,8.194819
15-Dec-2024 07:14:21.802,-0.213559,3.279363,8.170891
15-Dec-2024 07:14:21.810,-0.199202,3.308077,8.391031
15-Dec-2024 07:14:21.819,0.04008,3.236293,8.630313
15-Dec-2024 07:14:21.827,0.260219,3.126223,8.998808
15-Dec-2024 07:14:21.835,0.451645,3.025724,9.171091
15-Dec-2024 07:14:21.844,0.547358,2.930011,9.171091
15-Dec-2024 07:14:21.852,0.628714,2.906083,9.037093
15-Dec-2024 07:14:21.860,0.724427,3.054438,8.563314
15-Dec-2024 07:14:21.869,0.839283,3.116652,8.05125
15-Dec-2024 07:14:21.877,0.887139,3.169294,7.974679
15-Dec-2024 07:14:21.885,1.00678,3.308077,8.223534
15-Dec-2024 07:14:21.893,1.107279,3.480361,8.343174
15-Dec-2024 07:14:21.902,1.102493,3.604787,8.324032
15-Dec-2024 07:14:21.910,0.973281,3.499503,8.089535
15-Dec-2024 07:14:21.918,0.753141,3.298506,7.840682
15-Dec-2024 07:14:21.927,0.422931,3.044867,7.807182
15-Dec-2024 07:14:21.935,-0.017348,2.84387,8.017751
15-Dec-2024 07:14:21.943,-0.414557,2.84387,8.276175
15-Dec-2024 07:14:21.951,-0.658624,2.910869,8.620742
15-Dec-2024 07:14:21.960,-0.792623,2.867798,8.989237
15-Dec-2024 07:14:21.968,-0.783051,2.695515,9.199805
15-Dec-2024 07:14:21.976,-0.672981,2.350948,9.338589
15-Dec-2024 07:14:21.985,-0.577268,2.073381,9.410374
15-Dec-2024 07:14:21.993,-0.500698,1.877169,9.443872
15-Dec-2024 07:14:22.001,-0.424128,1.905883,9.501301
15-Dec-2024 07:14:22.010,-0.347557,2.025524,9.563514
15-Dec-2024 07:14:22.018,-0.098704,1.992025,9.620942
15-Dec-2024 07:14:22.026,0.11665,1.834099,10.056436
15-Dec-2024 07:14:22.034,0.217149,1.628316,10.372288
15-Dec-2024 07:14:22.043,0.231506,1.408176,10.161719
15-Dec-2024 07:14:22.051,0.097508,1.159323,9.884152
15-Dec-2024 07:14:22.059,-0.199202,1.116252,9.845867
15-Dec-2024 07:14:22.068,-0.098704,0.905683,9.410374
15-Dec-2024 07:14:22.076,-0.4002,0.690329,9.247662
15-Dec-2024 07:14:22.084,-0.701695,0.570688,9.467801
15-Dec-2024 07:14:22.092,-0.816551,0.498904,9.606585
15-Dec-2024 07:14:22.101,-0.826122,0.575474,9.544372
15-Dec-2024 07:14:22.109,-0.840479,0.58026,9.218947
15-Dec-2024 07:14:22.117,-0.816551,0.503689,8.821739
15-Dec-2024 07:14:22.126,-0.701695,0.585045,8.860024
15-Dec-2024 07:14:22.134,-0.754337,0.575474,9.137591
15-Dec-2024 07:14:22.142,-0.69691,0.719043,9.687941
15-Dec-2024 07:14:22.151,-0.66341,0.95354,10.410573
15-Dec-2024 07:14:22.159,-0.66341,1.121037,11.114063
15-Dec-2024 07:14:22.167,-0.620339,1.240679,11.736197
15-Dec-2024 07:14:22.175,-0.668196,1.479961,12.119048
15-Dec-2024 07:14:22.184,-0.754337,1.848456,11.989836
15-Dec-2024 07:14:22.192,-0.658624,2.231307,11.597413
15-Dec-2024 07:14:22.200,-0.404985,2.427519,10.975279
15-Dec-2024 07:14:22.209,-0.170489,2.374876,10.257433
15-Dec-2024 07:14:22.217,-0.18006,2.236093,9.817153
15-Dec-2024 07:14:22.225,-0.419342,2.068595,9.42473
15-Dec-2024 07:14:22.233,-0.826122,1.968097,9.022736
15-Dec-2024 07:14:22.242,-1.25683,1.925026,8.788239
15-Dec-2024 07:14:22.250,-1.47697,1.905883,8.525029
15-Dec-2024 07:14:22.258,-1.44347,1.81017,8.16132
15-Dec-2024 07:14:22.267,-1.362114,1.752743,8.065607
15-Dec-2024 07:14:22.275,-1.319044,1.910669,8.324032
15-Dec-2024 07:14:22.283,-1.285544,2.188236,8.64467
15-Dec-2024 07:14:22.291,-1.137189,2.518446,9.075378
15-Dec-2024 07:14:22.300,-0.864407,2.772085,9.702297
15-Dec-2024 07:14:22.308,-0.596411,2.906083,10.123434
15-Dec-2024 07:14:22.316,-0.409771,2.973082,10.166505
15-Dec-2024 07:14:22.325,-0.285344,2.99701,10.037292
15-Dec-2024 07:14:22.333,-0.127418,3.049653,9.683155
15-Dec-2024 07:14:22.341,-0.017348,3.231507,9.285947
15-Dec-2024 07:14:22.350,0.04008,3.480361,8.893523
15-Dec-2024 07:14:22.358,0.073579,3.757928,8.745169
15-Dec-2024 07:14:22.366,0.001795,3.949354,9.204591
15-Dec-2024 07:14:22.374,-0.079561,3.949354,10.587642
15-Dec-2024 07:14:22.383,-0.457627,3.62393,12.607184
15-Dec-2024 07:14:22.391,-1.017548,3.18365,13.913666
15-Dec-2024 07:14:22.399,-1.218545,3.135794,13.549956
15-Dec-2024 07:14:22.408,-1.223331,3.207579,12.334402
15-Dec-2024 07:14:22.416,-1.051047,3.32722,11.630913
15-Dec-2024 07:14:22.424,-1.022334,3.193222,12.214762
15-Dec-2024 07:14:22.432,-1.275973,2.729014,12.650255
15-Dec-2024 07:14:22.441,-1.295115,2.417947,12.430116
15-Dec-2024 07:14:22.449,-0.96012,2.441875,12.296118
15-Dec-2024 07:14:22.457,-0.495912,2.748157,12.635899
15-Dec-2024 07:14:22.466,0.092722,3.131008,13.23889
15-Dec-2024 07:14:22.474,0.580858,3.360719,13.626527
15-Dec-2024 07:14:22.482,0.552144,3.255435,13.262817
